baseline_model,residual_route,metrics_variant,representation,split,subset,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,delta_MAE_vs_baseline_mean,delta_MAE_vs_baseline_std,delta_RMSE_vs_baseline_mean,delta_RMSE_vs_baseline_std,delta_R2_vs_baseline_mean,delta_R2_vs_baseline_std,F1_mean,F1_std,DAF_mean,DAF_std,delta_F1_vs_baseline_mean,delta_F1_vs_baseline_std,delta_DAF_vs_baseline_mean,delta_DAF_vs_baseline_std,gamma_mean,gamma_std,alpha_mean,alpha_std,inner_alpha_mean,inner_alpha_std,inner_holdout_mae_mean,inner_holdout_mae_std,n_rows_mean,n_rows_std,rank_by_MAE
orb-v3,crabnet_frontend,full,mat2vec+S64,test,unique_prototype,0.011543919280959663,0.0007001426238975144,0.034560697435417655,0.003940456526373056,0.9984803156306012,0.00041363150229306237,4.618321957568922e-06,6.658942778148989e-06,-4.6712906401216726e-05,6.549885690553793e-05,4.242268008103345e-06,6.268055398105595e-06,0.9310271794547959,0.005780921647881507,6.220141010798523,0.5831466132861556,-0.00017756475519747905,0.0002873602654859609,0.0006910451575183885,0.0016278040362717433,0.02,0.027386127875258306,1000.0,0.0,1000.0,0.0,0.011406649493726152,0.000171424848119782,43097.6,818.5540910654594,7.0
orb-v3,crabnet_frontend,full,mat2vec+H64,test,unique_prototype,0.01154402792647304,0.0007001595848218827,0.034560838227287095,0.003940473179453565,0.9984803031085967,0.0004136352670961367,4.7269674709457535e-06,6.834595899553537e-06,-4.657211453178156e-05,6.530834615656964e-05,4.229746003470147e-06,6.25056879514942e-06,0.9310048839213977,0.005847599358167198,6.220327974871965,0.5832610946266172,-0.00019986028859575455,0.0003680896331102107,0.0008780092309597975,0.002017957624721654,0.02,0.027386127875258306,1000.0,0.0,1000.0,0.0,0.011406864755039168,0.0001713525559171016,43097.6,818.5540910654594,8.0
orb-v3,crabnet_frontend,full,mat2vec+L64,test,unique_prototype,0.011544202939836613,0.0007000509526184132,0.03456269526539289,0.003940742090482079,0.9984801370505698,0.00041369099177508727,4.901980834518677e-06,7.263294807725137e-06,-4.4715076425975996e-05,6.277119274376951e-05,4.063687976674224e-06,6.014966199583854e-06,0.9309611372551988,0.005771946421927709,6.2203556776964986,0.5836718931888086,-0.00024360695479452854,0.00035304840852585525,0.0009057120554937015,0.002648937726090609,0.02,0.027386127875258306,1864.911064067352,1184.3282500637113,1864.911064067352,1184.3282500637113,0.011406535145480016,0.00017120063460769787,43097.6,818.5540910654594,9.0
orb-v3,crabnet_frontend,full,mat2vec+L32,test,unique_prototype,0.011544556097593438,0.0007003378282373977,0.03456295671223546,0.003940740927921265,0.9984801143834414,0.0004136939948587461,5.255138591342759e-06,7.598759229569033e-06,-4.4453629583419974e-05,6.243503469702805e-05,4.041020848255528e-06,5.985881255779178e-06,0.9311574200112215,0.005638992765858905,6.220855952689197,0.5836421965680183,-4.7324198771825364e-05,6.892686249008933e-05,0.0014059870481929692,0.0031983905063439027,0.02,0.027386127875258306,1000.0,0.0,1000.0,0.0,0.011407166935024672,0.00017127259778060045,43097.6,818.5540910654594,10.0
orb-v3,crabnet_frontend,full,mat2vec,test,unique_prototype,0.01154459836805742,0.0007003584837312207,0.03456375425293018,0.00394093578482931,0.9984800416231904,0.00041372774046962,5.29740905532497e-06,7.65386252052196e-06,-4.365608888869249e-05,6.130382041926694e-05,3.968260597186912e-06,5.87651237959677e-06,0.9310419928784543,0.0056906697863520475,6.2207737520245825,0.5836427700269505,-0.00016275133153893507,0.00022373279243738682,0.0013237863835781738,0.0030974971493252764,0.02,0.027386127875258306,863.2455532033676,305.7922392626484,863.2455532033676,305.7922392626484,0.011407363726204241,0.00017130317701432302,43097.6,818.5540910654594,11.0
orb-v3,crabnet_frontend,full,mat2vec+H32,test,unique_prototype,0.011544628111974504,0.0007005718212988934,0.03456273149462567,0.003940633665037827,0.9984801358823876,0.0004136779886161272,5.327152972409502e-06,7.525958322289717e-06,-4.4678847193198314e-05,6.278266656679331e-05,4.062519794478802e-06,6.022229758268984e-06,0.9310680241675842,0.00572039563898569,6.221148433241746,0.5835627083370053,-0.00013672004240912196,0.00020147216798667984,0.0016984676007416155,0.0034673093613008994,0.02,0.027386127875258306,1000.0,0.0,1000.0,0.0,0.011407066745011536,0.0001714222349765555,43097.6,818.5540910654594,12.0
orb-v3,crabnet_frontend,full,mat2vec+S32,test,unique_prototype,0.011544690842533876,0.0007005827229087726,0.03456264560381801,0.003940853613902224,0.9984801393281135,0.000413704215925854,5.389883531779771e-06,7.624041155935233e-06,-4.47647380008645e-05,6.277664656631714e-05,4.0659655202723854e-06,6.008966540414869e-06,0.9310636593663769,0.005631137192592397,6.220639638027814,0.5838770940755595,-0.00014108484361632367,0.00020402089980528005,0.0011896723868085601,0.0032763418168795227,0.02,0.027386127875258306,1000.0,0.0,1000.0,0.0,0.011407249224481105,0.00017132196462864546,43097.6,818.5540910654594,13.0
orb-v3,crabnet_frontend,full,MDS_E_64_cos_zscore,test,unique_prototype,0.011545165469060712,0.0007004574673084862,0.034575976996609324,0.003943789753316378,0.9984789291196211,0.00041422718384226105,5.8645100586160456e-06,8.567260152900598e-06,-3.143334520954999e-05,4.406065861244215e-05,2.8557570279419408e-06,4.217508422410698e-06,0.9310903018009438,0.005483125153372333,6.221947111446257,0.5839517771175113,-0.0001144424090496754,0.00033245613536392354,0.0024971458052522877,0.005004881079872736,0.02,0.027386127875258306,316.22776601683796,0.0,316.22776601683796,0.0,0.011407300702133324,0.0001713110274860874,43097.6,818.5540910654594,14.0
orb-v3,crabnet_frontend,full,orb-v3-baseline,train,all,0.011425702023029692,0.00018642867110282095,0.03673254789672394,0.001005924728634154,0.9983901811938575,9.961963321190873e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9122871291033199,0.001590291906632857,5.526447050757682,0.13192648411176358,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,205570.4,0.5477225575061624,1.0
orb-v3,crabnet_frontend,full,mat2vec+S64,train,all,0.011426151045260482,0.00018604271734257142,0.03668234992883296,0.0010433456685248366,0.9983945059218204,0.00010243574766599474,4.49022230790061e-07,7.114342035567627e-07,-5.019796789098724e-05,6.909603760867292e-05,4.3247279630342915e-06,5.967874068495435e-06,0.9122080674807057,0.0015938926561898175,5.527251184418228,0.13248147723944484,-7.906162261430704e-05,0.00010826008755182074,0.0008041336605456806,0.0012098711197104726,0.02,0.027386127875258306,1000.0,0.0,1000.0,0.0,0.011406649493726152,0.000171424848119782,205570.4,0.5477225575061624,2.0
orb-v3,crabnet_frontend,full,MDS_F_64_cos_zscore,train,all,0.011426213671782023,0.00018602407497327023,0.036703999379601164,0.0010269497922751804,0.9983926433436009,0.00010118068431604677,5.116487523309371e-07,7.436275375261172e-07,-2.854851712278117e-05,3.939391877506702e-05,2.4621497435317607e-06,3.4076836236285476e-06,0.9121919240456554,0.0016073413754971295,5.526646047881227,0.13215745077757507,-9.520505766451582e-05,0.00013191253567237997,0.0001989971235449417,0.00038511686920951477,0.02,0.027386127875258306,1.0,0.0,1.0,0.0,0.011407159873884468,0.00017103652675305974,205570.4,0.5477225575061624,3.0
